batch_id,gas_name,concentration_ppm,PC1,PC2
1,Acetone,10.0,10.666590436290239,1.5447357139849183
1,Acetone,20.0,9.734951935174584,1.8379872977016574
1,Acetone,30.0,8.380374267233746,2.256573963261826
1,Acetone,40.0,7.531991067609699,2.62666958578765
1,Acetone,50.0,6.577421386273844,2.6909808553184678
1,Acetone,75.0,4.166734043459125,3.4192909095865347
1,Acetone,100.0,2.354062519320983,3.8395006137758094
1,Acetone,125.0,0.7269943263241002,4.260942778827027
1,Acetone,150.0,-0.9122689437012715,4.5743435767558704
1,Acetone,175.0,-2.333731332875801,4.834896639931353
1,Acetone,200.0,-4.039624989240482,5.0965707965719025
1,Acetone,225.0,-5.447231011667487,5.375081109602673
1,Acetone,250.0,-6.8877832646688395,5.746846402721688
1,Acetone,225.0,-8.301521962373865,5.834766578904669
1,Acetone,10.0,10.595616566027113,1.6216789745722524
1,Acetone,20.0,8.949725425337308,1.962035952395567
1,Acetone,30.0,7.6514720006972965,2.2315716812970288
1,Acetone,40.0,6.425408013128548,2.4369525264266625
1,Acetone,50.0,5.385614248188092,2.692376584644887
1,Acetone,75.0,3.1324858140257903,3.199511582787011
1,Acetone,100.0,1.088659977671158,3.5709597316909782
1,Acetone,125.0,-0.7576928775419881,3.8584591413313865
1,Acetone,150.0,-2.217896909146201,4.080026145446622
1,Acetone,175.0,-3.917025227664298,4.353367004935786
1,Acetone,200.0,-5.48545165824954,4.568353851639175
1,Acetone,225.0,-7.127413630790993,4.77353209502314
1,Acetone,250.0,-8.465267993226906,5.008908156556729
1,Acetone,275.0,-9.836980397161888,5.230492429161215
1,Acetone,10.0,10.696487849126052,1.6096539116298578
1,Acetone,20.0,9.331380447415135,1.998253137369968
1,Acetone,30.0,7.991653690342053,2.3078750228122105
1,Acetone,40.0,6.6832633706268485,2.537311613066333
1,Acetone,50.0,5.720824212703286,2.690520907188446
1,Acetone,75.0,3.5410614208033793,3.369645510833055
1,Acetone,100.0,1.543816409000735,3.7974803405065245
1,Acetone,125.0,-0.056476361366513704,4.2528384929843615
1,Acetone,150.0,-2.2187442521981118,4.40636281121233
1,Acetone,175.0,-3.436484331050389,4.5386007275989675
1,Acetone,200.0,-4.912313711651588,4.785400197740736
1,Acetone,225.0,-6.3297966130993135,5.586858864436951
1,Acetone,250.0,-7.721556355946182,5.359682857395896
1,Acetone,275.0,-8.8560189436172,5.576889021796585
1,Acetone,10.0,10.73209090904414,1.6131306152746203
1,Acetone,20.0,9.43748416709544,1.9799906352586494
1,Acetone,30.0,8.093903167749344,2.334897206775159
1,Acetone,40.0,7.202688035471147,2.452093946670837
1,Acetone,50.0,6.022394446698834,2.7782234536046606
1,Acetone,75.0,3.697334178780776,3.4534700131829705
1,Acetone,100.0,1.872566995121132,3.9889601815701496
1,Acetone,125.0,0.21555033403249965,4.300381152893765
1,Acetone,150.0,-1.3920579087216454,4.650202208510389
1,Acetone,175.0,-2.8085995038189684,4.896994984725757
1,Acetone,200.0,-4.609131646779233,4.962573136521
1,Acetone,225.0,-5.939374402172907,5.242507934954123
1,Acetone,250.0,-7.330962877155157,5.464211683845808
1,Acetone,275.0,-8.817693123114356,5.707388752856509
1,Acetone,10.0,10.674186163075145,1.676970927416453
1,Acetone,20.0,9.062329914827286,2.0403759845054927
1,Acetone,30.0,7.596960270336521,2.2791034841127242
1,Acetone,40.0,6.46448306433618,2.5412644485711184
1,Acetone,50.0,5.190748171771561,2.7478752018380885
1,Acetone,75.0,3.0249716386639465,3.2864330559765165
1,Acetone,100.0,1.279537511104468,3.8274091112858755
1,Acetone,125.0,-0.5010121272007411,4.225417553341981
1,Acetone,150.0,-1.9898696135195602,4.560961407580127
1,Acetone,175.0,-3.2929528076395176,4.77015795754323
1,Acetone,200.0,-4.720234928721584,5.006865685387473
1,Acetone,225.0,-5.943153865947863,5.365168478865468
1,Acetone,250.0,-7.34523464597975,5.625116714001565
1,Acetone,275.0,-8.653190755336828,5.822169916358842
1,Acetone,10.0,10.59395032979544,1.6447004285590656
1,Acetone,20.0,9.098676799752058,1.970242741002782
1,Acetone,30.0,7.768353654345713,2.266550321704288
1,Acetone,40.0,6.441443842455518,2.5412310544580645
1,Acetone,50.0,3.906764227678926,3.4726569123012334
1,Acetone,75.0,3.1976862928050673,3.290537345988498
1,Acetone,100.0,0.9604013742083569,3.6363244776220025
1,Acetone,125.0,-0.7509203333756612,3.948217572185599
1,Acetone,150.0,-2.577341541534577,4.14013255215
1,Acetone,175.0,-4.125946650229054,4.374073221093044
1,Acetone,200.0,-5.527586793780296,4.680874700512995
1,Acetone,225.0,-6.98119850772008,4.852431717822394
1,Acetone,250.0,-8.404645605986413,5.031447055733066
1,Acetone,275.0,-9.189781683138301,5.291461916417081
1,Acetaldehyde,10.0,10.737902815250688,0.9485922548419681
1,Acetaldehyde,50.0,6.09301120368073,-0.10870327373655474
1,Acetaldehyde,100.0,9.238752203827605,-1.4187986104454808
1,Acetaldehyde,100.0,2.3801110251509003,-1.5649209220071585
1,Acetaldehyde,200.0,-3.9972572264962367,-3.3746374969524906
1,Acetaldehyde,250.0,-6.518560412188513,-3.9508311378220395
1,Acetaldehyde,10.0,10.869693208981163,0.9205805504631684
1,Acetaldehyde,50.0,6.2375939766654325,-0.40527611996786383
1,Acetaldehyde,100.0,2.327584336207294,-1.6101785981203847
1,Acetaldehyde,150.0,-1.1725892832388833,-2.6401116362113473
1,Acetaldehyde,200.0,-4.156563960540015,-3.4296221672876057
1,Acetaldehyde,250.0,-6.820949980020913,-4.099142024982692
1,Acetaldehyde,10.0,10.598736378537609,0.8704534825713256
1,Acetaldehyde,50.0,6.128909349118959,-0.39619095966417195
1,Acetaldehyde,100.0,1.9451841990515137,-1.7225726014936678
1,Acetaldehyde,150.0,-1.2077021367401657,-2.674670952738577
1,Acetaldehyde,200.0,-4.105126555904139,-3.505927572127541
1,Acetaldehyde,250.0,-7.101895989958204,-4.205147743047493
1,Acetaldehyde,10.0,10.722282180984807,0.8918700564045505
1,Acetaldehyde,50.0,6.216399282865203,-0.3499311803325615
1,Acetaldehyde,100.0,2.087377672698029,-1.671646749678696
1,Acetaldehyde,150.0,-1.4448389154308168,-2.757460373475453
1,Acetaldehyde,200.0,-4.960420724418912,-3.785326374852668
1,Acetaldehyde,250.0,-7.661400956382502,-4.3983721211806035
1,Acetaldehyde,10.0,10.74764343827266,0.9373128983342572
1,Acetaldehyde,50.0,5.742563697219987,-0.6255631796001521
1,Acetaldehyde,100.0,1.461607438375879,-1.9490687340619568
1,Acetaldehyde,150.0,-2.0796994722924187,-3.022169900795953
1,Acetaldehyde,200.0,-4.666955522155688,-3.6313990449575293
1,Acetaldehyde,250.0,-7.79172890028336,-4.497296062889518
1,Acetaldehyde,10.0,10.609981850157519,0.8836792989396711
1,Acetaldehyde,50.0,5.9680391512008955,-0.5049043962917692
1,Acetaldehyde,100.0,1.8084422833100984,-1.8003449066972022
1,Acetaldehyde,150.0,-1.7817592984370703,-2.9070972271864903
1,Acetaldehyde,200.0,-4.944957081637316,-3.7565020844993313
1,Acetaldehyde,250.0,-7.136397185550411,-4.32144595104776
1,Acetaldehyde,10.0,10.677171655546427,0.8862763692394853
1,Acetaldehyde,50.0,6.361120066795474,-0.331787917207596
1,Acetaldehyde,100.0,2.306458905321446,-1.6618952676751255
1,Acetaldehyde,150.0,-1.106556082531831,-2.6427073752101085
1,Acetaldehyde,200.0,-3.9277615571475435,-3.3661510620353767
1,Acetaldehyde,250.0,-6.802790339466277,-4.045844485247725
1,Acetaldehyde,30.0,8.373455729895367,0.317801141298331
1,Acetaldehyde,75.0,3.9770439275634413,-0.89363591482514
1,Acetaldehyde,125.0,0.2627041569910401,-2.27311818956791
1,Acetaldehyde,175.0,-2.6110961632973986,-3.143606803124478
1,Acetaldehyde,225.0,-5.688387628233627,-3.822482070837038
1,Acetaldehyde,30.0,8.327210191495558,0.2555048457866366
1,Acetaldehyde,75.0,4.091490503385464,-1.031661434021131
1,Acetaldehyde,125.0,0.37120748994727504,-2.1587843581448567
1,Acetaldehyde,175.0,-3.017689523736447,-3.1180823513001865
1,Acetaldehyde,225.0,-5.803057748952653,-3.874625576667981
1,Acetaldehyde,30.0,7.7953552747892125,0.08451824859205509
1,Acetaldehyde,75.0,3.802066665400244,-1.1703702145297614
1,Acetaldehyde,125.0,-0.21014476406070906,-2.410629500708046
1,Acetaldehyde,175.0,-3.5159798429151534,-3.397153617647756
1,Acetaldehyde,225.0,-6.66729520808345,-4.3112146277448185
1,Acetaldehyde,275.0,-9.700487161976346,-4.746425400979519
