gas_name,batch_id,PC1,PC2
Acetaldehyde,1,0.8885175625086387,-2.137972285879635
Acetaldehyde,2,-2.8280929566183683,-4.620615353768564
Acetaldehyde,3,-6.749419573371179,-8.23576474968573
Acetaldehyde,4,-5.970541025425778,-8.167726022240686
Acetaldehyde,5,-7.04771033848476,-8.96244883872927
Acetaldehyde,6,-0.07698657420182109,-5.117829893527298
Acetaldehyde,7,-2.541919224672922,-6.30298443710295
Acetaldehyde,8,7.8102745725353735,-0.36583874478354533
Acetaldehyde,9,8.7250076929896,0.07236880807609594
Acetaldehyde,10,1.5361386320344568,-0.7604303730035513
Acetone,1,0.5656781216873131,3.7025260497008863
Acetone,2,-3.809042167129182,2.498997741156632
Acetone,3,-9.739988107438291,-0.737666826777229
Acetone,4,-13.051774247669197,-1.5656602083672841
Acetone,5,-13.444552174484988,-1.7066329197784555
Acetone,6,-2.0727740731527193,-2.198245837050575
Acetone,7,-3.9178364842706546,-1.983629560578053
Acetone,8,4.429728176816671,-2.7883469232864764
Acetone,9,5.911164479132939,-1.3402181089196048
Acetone,10,2.1359764106890933,1.3183798361857673
Ammonia,1,-5.878048465830183,16.207815381969393
Ammonia,2,-4.756656156082397,8.598447767171605
Ammonia,3,-3.7694790086107193,6.024711812637352
Ammonia,4,-10.39928273161158,5.165293393082345
Ammonia,5,-8.318232432368932,3.915780710257662
Ammonia,6,1.8668347859810144,2.2878875150199165
Ammonia,7,-1.5268157163932228,1.638165821583474
Ammonia,8,5.9053810858033255,1.2265971279496948
Ammonia,9,5.310715291234075,2.324067402813001
Ammonia,10,-13.804067954887268,5.645763211279483
Ethanol,1,1.074735234405305,-0.9580149976782315
Ethanol,2,2.877801735618515,-1.3874530960499611
Ethanol,3,5.496135263148438,-0.38879778444253654
Ethanol,4,4.398280632791273,-1.0352970833572457
Ethanol,5,1.4209287504644685,-1.2363303124983485
Ethanol,6,3.533261435857826,-1.1415572805532281
Ethanol,7,5.98190465484253,-0.9921731332911468
Ethanol,8,5.346146503819968,-0.06838154475285207
Ethanol,9,6.975003834490198,-0.09299071805144309
Ethanol,10,0.7922842531577342,-1.847190985263381
Ethylene,1,-2.756299660658655,11.541989854674604
Ethylene,2,-1.4288683067094659,1.6537147504137122
Ethylene,3,-0.14429918221448987,0.7373781915421105
Ethylene,4,-3.4437461118162602,0.49885731069877476
Ethylene,5,-5.734575339209749,-0.49938675186986214
Ethylene,6,-2.597815373078013,-0.8233028971535001
Ethylene,7,3.961526946170029,0.01700049373293525
Ethylene,8,3.962261351802006,-0.3200759275623558
Ethylene,9,4.834712669773396,0.5624850032954608
Ethylene,10,6.644507463156692,0.9583165442663348
Toluene,1,5.186430073606555,7.462649994268705
Toluene,2,4.1471557295131785,6.427920347439209
Toluene,6,4.5012617386535085,1.5840089863688323
Toluene,7,6.027027259205375,0.5934162661783077
Toluene,8,7.487403165449949,0.1085988714839701
Toluene,9,6.221307900229178,-0.5994585980815608
Toluene,10,7.451054947320225,1.2489008752274413
