test_batch,feature,ks_statistic,absolute_standardized_mean_shift,standard_deviation_ratio
4,feature_1,0.3378104404722393,0.44821321827771426,0.5778638380296718
4,feature_2,0.18242662747143346,0.14246511105543413,0.6103409138923639
4,feature_3,0.17933905457304056,0.3472376016874964,0.6636118845497494
4,feature_4,0.16498790953487263,0.2159595639734894,0.6870066095825712
4,feature_5,0.14555023469726425,0.22257248025628132,0.5719660250868718
4,feature_6,0.1618017163719122,0.27915677797777877,0.5866313163262599
4,feature_7,0.15021004219809392,0.07637129535374593,0.8139381326558712
4,feature_8,0.1657218718884832,0.5831187606155773,1.674368637879363
4,feature_9,0.3320013275804845,0.44967732889019085,0.6177853966230296
4,feature_10,0.19891517708975404,0.44237614107914286,1.4878950371714943
4,feature_11,0.17988146602816363,0.33077640903161615,0.7039813545039425
4,feature_12,0.10379213882698779,0.16973074737147695,0.7243394402011746
4,feature_13,0.1270816936133895,0.1540190887528917,0.5072299117886883
4,feature_14,0.16291878052249775,0.2710751941526509,0.6377226543721572
4,feature_15,0.18599592243136875,0.061926430204790134,0.8231552934649005
4,feature_16,0.1647925655492864,0.468577131306616,1.5254308149958296
4,feature_17,0.18851073917784833,0.06137673767708287,1.0423404770795108
4,feature_18,0.24074723815845617,0.10479185007234912,1.4791916092964765
4,feature_19,0.2303598691384951,0.2140912964451309,0.7283260290410973
4,feature_20,0.4228021430942108,0.41201442801324395,0.5208457682627434
4,feature_21,0.42597506045232564,0.06544903362325395,0.10954877330033098
4,feature_22,0.16488928927030483,0.07119235215308971,0.7949009359641582
4,feature_23,0.41344080413446493,0.5825951250449907,0.8866427503078544
4,feature_24,0.3770385472476411,2.8185972911936825,4.847624191614489
4,feature_25,0.17232753307097812,0.04277852671478643,1.0329447868846253
4,feature_26,0.21071926414110279,0.04712466822578961,1.172307578676357
4,feature_27,0.24065999715518466,0.19707093839042117,0.5891518741884557
4,feature_28,0.42403868948840745,0.2704997092862306,0.3547737496654574
4,feature_29,0.41884784979375095,0.001073796148515329,0.03946850765330736
4,feature_30,0.1879986724195154,0.07051057793748942,0.7681166693097773
4,feature_31,0.40213550803660325,0.22937600075156156,0.4022639535224791
4,feature_32,0.38595988810393056,0.24423103011905986,0.5047732209267909
4,feature_33,0.27497795268123837,0.29341771107952275,1.0704802820004793
4,feature_34,0.31335451140296805,0.13289299929088408,0.13586729229713243
4,feature_35,0.19723673604855152,0.2799840796177129,0.9127629070754678
4,feature_36,0.3578227680053103,0.44962649084459405,0.6441069386982167
4,feature_37,0.43909724527049454,0.20456923466173824,0.29653323688995276
4,feature_38,0.24455549760561385,0.21115736232438123,0.9731068457624032
4,feature_39,0.17770423403347396,0.1398888206180086,0.4327229319584649
4,feature_40,0.41457873026409364,0.2609094993804118,0.5031745826752145
4,feature_41,0.2337641648096344,0.2787822331268573,1.0047184589615783
4,feature_42,0.2768707031435209,0.01879037273618605,0.0014531798742787752
4,feature_43,0.24373808733583044,0.31381622879279203,0.8163364100124113
4,feature_44,0.43105400407756866,0.48158251085681447,0.5863535563861483
4,feature_45,0.4599649139443365,0.22848269170453275,0.29532995868776424
4,feature_46,0.2015987862121284,0.24111257442252454,0.8877525099139204
4,feature_47,0.21251908396946562,0.22466679673295237,0.8060822005632815
4,feature_48,0.3670418661988525,0.5081294947396403,0.9644946044071874
4,feature_49,0.1036480015172348,0.04589229205231748,1.009658855340595
4,feature_50,0.1504395239675691,0.016495865226106955,0.043439917454518494
4,feature_51,0.31845621355080367,0.381449376236833,0.7866790298289796
4,feature_52,0.42382248352377794,0.7705475737918516,0.8521522386422267
